
目    录
作者简介	iii
项目34——触摸屏键盘	284
需要的元件	285
把元件连接起来	285
输入代码	286
代码回顾	289
项目35——触摸屏灯控制	291
需要的元件	291
把元件连接起来	292
输入代码	293
代码回顾	295
小结	297
本章的主题和概念	297
  第13章  温度传感器	298
项目36——串口温度传感器	298
需要的元件	298
把元件连接起来	299
输入代码	300
代码回顾	301
项目37——单线数字温度传感器	303
需要的元件	303
把元件连接起来	303
输入代码	304
代码回顾	309
小结	312
本章的主题和概念	312
  第14章  超声测距	313
项目38——简单的超声测距仪	313
需要的元件	313
把元件连起来	314
输入代码	314
代码回顾	315
硬件回顾	317
项目39——超声测距显示仪	318
需要的元件	318
把元件连接起来	319
输入代码	321
代码回顾	322
项目40——超声报警	326
需要的元件	326
把元件连接起来	327
输入代码	327
代码回顾	330
项目41——超声电子音乐	333
输入代码	333
代码回顾	334
小结	335
本章的主题和概念	336
  第15章  读写SD卡	337
项目42——简单的SD卡读写	337
需要的元件	337
把元件连接起来	338
输入代码	338
代码回顾	342
项目43——用SD卡记录温度数据	348
需要的元件	348
把元件连接起来	349
输入代码	350
代码回顾	356
硬件回顾	361
小结	363
本章的主题和概念	363
  第16章  RFID读卡器	365
项目44——简单的RFID读卡器	365
需要的元件	366
把元件连接起来	366
输入代码	367
硬件回顾	367
项目45——门禁控制系统	368
需要的元件	369
把元件连接起来	369
输入代码	370
代码回顾	373
小结	380
本章的主题和概念	380
  第17章  连接到Internet	381
项目46——Ethernet板	381
需要的元件	381
把元件连接起来	382
输入代码	382
代码回顾	386
项目47——Internet天气显示	391
输入代码	394
代码回顾	400
项目48——电子邮件提醒系统	410
输入代码	410
代码回顾	414
项目49——微博机器人	421
输入代码	421
代码回顾	425
项目50——RSS读取气象信息	431
输入代码	431
代码回顾	436
小结	446
本章的主题和概念	446
